epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s
1,1.0109,84.92,0.8347,93.31,0.001000,54.3
2,0.6079,97.56,0.6356,97.50,0.000989,52.0
3,0.5892,98.02,0.6504,95.75,0.000957,54.7
4,0.5866,97.86,0.5913,98.19,0.000905,56.9
5,0.5675,98.39,0.5953,97.81,0.000835,55.7
6,0.5609,98.52,0.6841,93.44,0.000750,57.9
7,0.5534,98.83,0.5799,97.19,0.000655,58.9
8,0.5480,98.89,0.6113,96.94,0.000553,57.3
9,0.5518,98.83,0.5730,98.31,0.000448,57.0
10,0.5445,99.09,0.5646,98.06,0.000346,57.4
11,0.5456,99.02,0.5564,98.50,0.000251,60.2
12,0.5413,99.05,0.5478,98.69,0.000166,73.1
13,0.5392,99.25,0.5498,98.56,0.000096,69.8
14,0.5375,99.27,0.5639,97.88,0.000044,77.1
15,0.5393,99.19,0.5529,98.44,0.000012,55.2
