epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s,is_best
1,0.9108,93.97,0.8265,95.8,0.0009939,291.6,True
2,0.7709,97.96,0.7872,97.07,0.0009756,274.1,True
3,0.7565,98.18,0.7668,97.84,0.0009456,312.8,True
4,0.7481,98.29,0.7522,98.15,0.0009046,281.3,True
5,0.743,98.47,0.808,96.24,0.0008537,295.0,False
6,0.741,98.32,0.762,97.43,0.0007941,279.7,False
7,0.7351,98.46,0.7306,98.53,0.0007273,274.6,True
8,0.726,98.69,0.7442,97.83,0.0006549,285.2,False
9,0.7202,98.88,0.7223,98.78,0.0005786,288.9,True
10,0.7143,99.07,0.7121,99.14,0.0005005,326.8,True
11,0.7131,99.09,0.7054,99.17,0.0004224,324.6,True
12,0.7047,99.3,0.6989,99.31,0.0003461,311.1,True
13,0.7002,99.4,0.6976,99.23,0.0002737,281.5,False
14,0.697,99.49,0.6908,99.57,0.0002069,281.3,True
15,0.6938,99.59,0.687,99.64,0.0001473,319.1,True
16,0.69,99.7,0.6847,99.74,9.64e-05,306.7,True
17,0.6889,99.72,0.684,99.72,5.54e-05,333.2,False
18,0.6869,99.79,0.6827,99.77,2.54e-05,323.2,True
19,0.6855,99.82,0.6821,99.77,7.1e-06,284.5,False
20,0.6847,99.87,0.6815,99.8,1e-06,279.0,True
